"state","0","1","+","-","+i","-i"
"0",3127503,94,1556546,1570738,1533967,1532820
"1",38,3074968,1527616,1524502,1520062,1518786
"+",1582376,1586784,3198406,608,1565888,1624234
"-",1545810,1560932,238,3030260,1587908,1517972
"+i",1522100,1557602,1576554,1618220,3175220,348
"-i",1572586,1593242,1617556,1560476,294,3134998

"SPAM dataset with bright classical light and off-chip detectors."
