"Pulse Delay (ps)","Normalized Counts","error"
-250,0.9934408850995743,0.09909647055705734
-150,1.015393659352265,0.09159530226787632
-50,0.5378118776120742,0.06327196531599288
-15,0.14085229850429415,0.034505136141561484
0,0.005,0.0025
15,0.11437662427409234,0.029177395336374083
50,0.5298759191524762,0.06614631773080837
150,0.9628389574953116,0.08293769886106137
250,0.8062169152702798,0.09396203667903981
