Source 1,,,,Source 2,,
Attenuation (dB),CAR,CAR Error,,Attenuation (dB),CAR,CAR Error
22.413793103448278,1208.8939130434783,50.705441055711454,,20.551724137931036,1266.3524229074892,84.51409164684615
21.793103448275865,1064.7921478060046,36.42020300850671,,19.93103448275862,1084.2621082621083,58.246063876125675
21.17241379310345,950.3633491311216,26.905950266858895,,19.310344827586206,976.6716981132075,42.72688627428961
20.551724137931036,872.1371359,21.655302493074903,,18.689655172413794,778.0438596491227,25.994366410010567
19.93103448275862,716.5317545748117,13.70467641643767,,18.06896551724138,654.4645362431801,18.465833561608413
19.310344827586206,613.5253137170056,9.126765609444682,,17.448275862068968,544.1140939597316,12.065611310648261
18.689655172413794,518.4112583686295,6.140941411403937,,16.82758620689655,417.1205936920222,6.903777683
18.06896551724138,433.4873737373738,4.040828314822275,,16.20689655172414,341.37766300839246,4.424935142357665
17.448275862068968,393.3405419489317,3.2305814385263996,,15.586206896551724,263.7419758605275,2.5591302705947108
16.82758620689655,313.0718294474368,1.9639005052162983,,14.96551724137931,235.85564957690397,2.0470513657436014
16.20689655172414,246.0946016280474,1.1543748505730278,,14.344827586206897,188.2941024759285,1.2795809777377556
15.586206896551724,199.05089305732008,0.7267814501682648,,13.724137931034484,140.3762252055558,0.7094637912454521
14.96551724137931,165.03432113331664,0.4886466908722178,,13.10344827586207,108.54533243787776,0.42698102436408436
14.344827586206897,142.82279786740844,0.3602743150200368,,12.482758620689655,80.16229046354971,0.23625042066057822
13.724137931034484,114.44305571820449,0.228394129,,11.862068965517242,67.21727340519287,0.1687260894264315
13.10344827586207,85.83216781,0.12641001947168545,,11.241379310344827,52.658240783778524,0.10756906195496206
12.482758620689655,64.18611181259544,0.070916177,,10.620689655172415,37.62495374041766,0.059506671
11.862068965517242,50.46685892883884,0.044323269,,10,27.749111949275584,0.036207738
11.241379310344827,40.608927944634445,0.029343698098669525,,,,
10.620689655172415,33.202907153645306,0.02026683,,,,
10,23.15763928065846,0.010913165,,,,
