"Tuner Power (mW)","Norm. SNSPD Counts (dB)"
2.4562500000000006e-8,-15.161000997015057
0.15009720572916668,-15.113575908340206
0.2987839637473958,-15.206598445966366
0.44835175778906255,-15.224014168816149
0.5993771707578125,-15.479916310521835
0.7521426263203123,-15.654463595874708
0.9067554928125001,-15.913567704569418
1.0633832203567708,-16.42120719820251
1.2220449702343752,-16.912436598835438
1.3827627756875005,-17.575125649152547
1.5455309255859373,-18.401695708356268
1.7104359956588542,-19.337720118196287
1.8774421171927085,-20.59659242381072
1.9617220784687501,-21.25294805619518
2.046567984744792,-22.010006482098543
2.131917208828125,-22.96864583564244
2.2177893696354167,-24.093346782968517
2.3041913148697923,-25.287419635723772
2.3911068985833333,-26.61777743806306
2.478552849229166,-28.337773395730324
2.5665714628125,-30.457889434802
2.6550772347343754,-33.22042215743566
2.74415966575,-37.54574579648985
2.8338343965963544,-40.05802964721692
2.9238935006250006,-37.15458379836387
3.0144922030625003,-33.544753147670306
3.1057988299453134,-30.396026926676857
3.1975675037343745,-27.932888294587997
3.2896263737968745,-26.020865234274208
3.3825016125000005,-24.449126053250275
3.4759059320052073,-23.054009069035637
3.5698146118880203,-21.815048296946188
3.66409120059375,-20.610222887628296
3.759081401835937,-19.611233418312246
3.950478254999999,-17.976683794940126
4.144205997390626,-16.48150220513559
4.339842677929688,-15.162551713182225
4.537782926354167,-14.017906882301862
4.73782130915625,-13.076868458061174
4.9400877066458335,-12.122148704596247
5.1445335199375,-11.286540675668777
5.350791152127604,-10.517348653843555
5.559447489208335,-9.770756790422867
5.770105650281251,-9.073041761073302
5.983110897656251,-8.452549028792737
6.198184947364584,-7.866469942630916
6.415520015645833,-7.294983587950565
6.634955203242189,-6.765006055789767
6.856532075677084,-6.282599795809282
7.080063154882813,-5.7944891481483545
7.306062471500001,-5.351985461399512
7.534364634739584,-4.931246627824138
7.764495878260417,-4.534512257935351
7.996906105546875,-4.137158703606689
8.23172053159375,-3.800129425280796
8.468701830859375,-3.4360515956121187
8.707830517848956,-3.12673296918525
8.949166332083335,-2.815204617612875
9.192553585078125,-2.5305612037537175
9.438213328070313,-2.261241319248524
9.68622477271354,-1.9984198604087144
9.936345748197917,-1.7613166074674829
10.188553006039063,-1.5271429172896422
10.443147793458332,-1.3207463800216384
10.700225941888021,-1.1245021627343275
10.95927103125521,-0.9467502844988817
11.22053573420573,-0.7804412142795837
11.484270828979168,-0.6306764151647509
11.75000098619531,-0.49637068843302024
12.017971463283855,-0.37837754960834047
12.288426970359373,-0.2749180493498398
12.561004839864584,-0.18791953150906568
12.835661564648438,-0.1161660481549902
13.112879618697919,-0.06180217098297292
13.392169476895832,-0.02454231176323342
13.673718710171876,-0.003600293073431212
13.957778243437499,-0.0014063809439158004
14.244242978255206,-0.017615066466808462
14.532479610453127,-0.05266066559369652
14.823584704322919,-0.10893534157000755
15.116812100789065,-0.1860593925888401
15.412307508664062,-0.2854035635080578
15.710368844895832,-0.4083250402936873
16.011114464453122,-0.5557292759179001
16.313183281244793,-0.7277619159326145
16.61833473746875,-0.9328940235254526
16.925819645937498,-1.165746689365267
17.235618444101558,-1.4294444893551659
17.547867626408856,-1.7377139561689923
17.862553351127605,-2.077099386437597
18.17949789817708,-2.4580329066701156
18.498938724289058,-2.899268868633526
18.820947403341144,-3.381768333619519
19.144869831960932,-3.9425504495529684
19.47134639877083,-4.571886533722662
19.800355058609373,-5.274193782921852
20.13153284240886,-6.088915754073685
20.46618837757292,-7.029116348973563
20.802484675781248,-8.127743817864461
21.142099216528646,-9.445592701979058
21.483386232229165,-11.02026135462941
21.827305671320318,-13.06008047517668
22.17363900244271,-15.748771600950263
22.522725068020833,-19.883836846620312
22.697895231348962,-22.87069230142389
22.867712198770832,-27.882801963045317
22.867712198770832,-27.882801963045317
22.873800983359377,-28.15243982937163
22.873800983359377,-28.15243982937163
22.875410535859377,-28.201884618689277
22.875410535859377,-28.201884618689277
22.882978833166664,-28.544157741254978
22.882978833166664,-28.544157741254978
22.891040255739583,-28.816586442311177
22.891040255739583,-28.816586442311177
22.899014066333336,-29.10546054993202
22.899014066333336,-29.10546054993202
22.906187638979166,-29.560873869891445
22.906187638979166,-29.560873869891445
22.914353654776036,-29.85383824574082
22.914353654776036,-29.85383824574082
22.92210281046875,-30.376384613055162
22.92952911803125,-30.57364633999097
22.937234015625,-31.258993780275173
22.944716315859377,-31.514258482101436
22.95231324229167,-31.97796088140452
22.96040094125,-32.33879214914941
22.9682606331875,-32.913136628973476
22.976175505190106,-33.6044032951248
22.984036891453123,-34.2089378689463
22.99135727653125,-34.65113392009186
22.99946724717187,-35.2979700383335
23.00685333452865,-36.37694718145224
23.014312614476562,-36.64303075401874
23.02244836608334,-37.67565365994753
23.030544969249995,-38.63630652105017
23.037904751458335,-39.34278975180774
23.045353585249998,-41.483891563759585
23.05088135046094,-40.939321706622636
23.05317276610677,-42.322718844468675
23.060937382927087,-43.53224620920259
23.06862797567708,-44.96616055479954
23.076621035416668,-47.788477222726335
23.08399156273438,-48.908390404563505
23.092392660984377,-49.79875895859189
23.099918980731772,-49.94867603384109
23.108071373333335,-48.401495741328624
23.11556766312761,-46.27223646921192
23.123145662187504,-44.2752608536593
23.131133532742187,-42.03051018462521
23.138870964791664,-42.24628002881957
23.146266102513017,-40.653283393339244
23.15394108973177,-39.31140750381563
