"Tuner Power (mW)","Norm. SNSPD Counts (dB)"
2.4562500000000006e-8,-0.13439610670297236
0.5236677642447917,-0.12889551063783794
1.0633832203567708,-0.10015245300141017
1.6277271725000004,-0.055875219635419526
2.2177893696354167,-0.016954973130253802
2.8338343965963544,-0.00042855125767057633
3.4759059320052073,-0.02155065585250482
4.144205997390626,-0.09875577987482355
4.838637592257812,-0.24608987182992892
5.559447489208335,-0.48380969781888766
6.306383666177083,-0.8381531323312319
7.080063154882813,-1.327451570225025
7.880508365750001,-2.001434282748834
8.707830517848956,-2.8969071477028256
9.561870106765626,-4.1249759971115125
10.443147793458332,-5.813299214439528
11.352041086070312,-8.254081582427858
11.883378507820314,-10.210523475145505
12.288426970359373,-12.122544502503107
12.698268123562503,-14.658190302430015
13.112879618697919,-18.49867024152225
13.252142941861981,-20.31672406578467
13.392169476895832,-22.49095380322244
13.532747606940102,-25.763571354440217
13.673718710171876,-30.816264585861163
13.815402226101561,-41.94911870178605
13.957778243437499,-34.89751655254173
14.100733893898436,-27.96128201966338
14.244242978255206,-23.927804806871865
14.388096849750001,-21.132225432637206
14.823584704322919,-16.06050893714788
15.264434827453126,-12.795547541280111
15.710368844895832,-10.470345996324543
16.313183281244793,-8.116750612435057
17.39092925235156,-5.164850514873242
18.498938724289058,-3.124244291577588
19.635656925687503,-1.6964155084471553
20.802484675781248,-0.7257594008301754
22.000410729645832,-0.16487536983957926
22.875410535859377,-0.006575436374253604
22.92952911803125,-0.0038072379894231088
22.984036891453123,-0.001648059643352163
23.037904751458335,-0.0005052782448905677
23.08399156273438,-0.000055840341145365775
23.138870964791664,-0.0002589221797327148
23.193550075755216,-0.0013927461026988384
23.239982014895833,-0.002890429628509494
23.294263370838543,-0.005315603980935672
23.764476625033858,-0.059656077472597394
25.038047724885416,-0.5249832038309087
