"state","fidelity","error"
"0",0.9999410492747448,4.461660566466641e-6
"1",0.9999769731119568,2.854508423596054e-6
"+",0.9997984714289903,0.000011574292406523846
"-",0.9999333296714192,5.681863895747905e-6
"+i",0.9998215572372253,8.145982367986407e-6
"-i",0.9999014925327412,7.762524501776432e-6
