"state","0","1","+","-","+i","-i"
"0",2930,1,1514,1392,1452,1386
"1",8,6123,3013,2983,3301,3038
"+",1349,1438,2812,7,1452,1344
"-",1661,1471,8,3001,1620,1543
"+i",1569,1620,1643,1678,3257,7
"-i",2238,2129,2201,2195,6,4193
