"Power (pJ)","CAR (source 1)","Error Car (source 1)","CAR (Source 2)","Error Car (source 2)"
0.033214285714285,4682.307692307692,3158.965777247272,3737.6470588235297,1686.2614322432037
0.061428571428571006,1849.7272727272727,50.70125064965646,1863.0701754385964,48.40296174091295
0.08964285714285701,1167.7952755905512,4.965685961611611,1162.3425692695214,4.646740113022432
0.11785714285714201,743.3039215686274,0.721549561296238,705.9285714285714,0.5955712519227311
0.14607142857142802,530.3178258866882,0.16578548030394902,525.7784561709551,0.151424694543763
0.17428571428571402,401.81201550387595,0.047908590061446,382.0137046861185,0.039700415581756
0.2025,308.9417114510128,0.015803048422181002,303.76369327073553,0.014305818668918
0.230714285714285,244.242502363152,0.00615261449434,239.84405300581773,0.0055088192022380005
0.258928571428571,197.89872008903728,0.0025978908348390003,194.32940194134224,0.0023167399618570002
0.28714285714285703,164.03412918194746,0.001187492368019,162.16816816816817,0.001076888955984
0.315357142857142,134.77855653528275,0.0005366383632040001,133.32441772391593,0.000485512656303
0.34357142857142803,116.90774093399915,0.000299013166205,114.9604082350871,0.00026833786263300003
0.37178571428571405,100.27554487445099,0.00016276814018900001,99.17161772194873,0.000147975241601
0.4,86.89252823269577,0.00009239688934479564,86.60010739643205,0.00008587522971194471
