"(Normailized Bias Current,On-chip Detection Efficiency) pairs. Each line is a different device"
"(0.605402542, 0.136245322)","(0.61970339, 0.180812666)","(0.634004237, 0.22988675)","(0.648305085, 0.279891406)","(0.662605932, 0.34068226)","(0.67690678, 0.401193118)","(0.691207627, 0.464520007)","(0.705508475, 0.522957448)","(0.719809322, 0.579986487)","(0.734110169, 0.635875862)","(0.748411017, 0.689016362)","(0.762711864, 0.735944925)","(0.777012712, 0.785773626)","(0.791313559, 0.821795292)","(0.805614407, 0.86334987)","(0.819915254, 0.894890906)","(0.834216102, 0.923589283)","(0.848516949, 0.950220239)","(0.862817797, 0.976928719)","(0.877118644, 0.993595782)","(0.891419492, 1.008354587)","(0.905720339, 1.028694851)","(0.920021186, 1.049491947)","(0.934322034, 1.181231986)","(0.948622881, 0)","(0.962923729, 0)","(0.977224576, 0)","(0.605402542, 0.152632112)","(0.61970339, 0.204494734)","(0.634004237, 0.252341652)","(0.648305085, 0.287334075)","(0.662605932, 0.378835542)","(0.67690678, 0.440655719)","(0.691207627, 0.51672434)","(0.705508475, 0.571683641)","(0.719809322, 0.637488569)","(0.734110169, 0.697680352)","(0.748411017, 0.738512901)","(0.762711864, 0.778295126)","(0.777012712, 0.823100146)","(0.791313559, 0.860518594)","(0.805614407, 0.894229765)","(0.819915254, 0.919270696)","(0.834216102, 0.974497841)","(0.848516949, 0.973494266)","(0.862817797, 1.006478771)","(0.877118644, 1.0158284)","(0.891419492, 1.012361326)","(0.905720339, 1.068317034)","(0.920021186, 1.071856025)","(0.934322034, 1.401879683)","(0.955773305, 0)","(0.970074153, 0)","(0.984375, 0)"
"(0.6, 0.054915205)","(0.615254237, 0.081943079)","(0.630508475, 0.118245715)","(0.645762712, 0.163224887)","(0.661016949, 0.214602108)","(0.676271186, 0.27511624)","(0.691525424, 0.339763751)","(0.706779661, 0.409458262)","(0.722033898, 0.474711009)","(0.737288136, 0.541125789)","(0.752542373, 0.602932629)","(0.76779661, 0.662690558)","(0.783050848, 0.717685888)","(0.798305085, 0.773023251)","(0.813559322, 0.819297828)","(0.828813559, 0.867694069)","(0.844067797, 0.909554846)","(0.859322034, 0.944414198)","(0.874576271, 0.974831479)","(0.889830509, 1.004819929)","(0.905084746, 1.031293564)","(0.920338983, 1.050020522)","(0.93559322, 1.066869512)","(0.950847458, 1.103780802)","(0.966101695, 1.109190476)","(0.981355932, 1.02475516)","(0.99661017, -0.274296158)","(1.011864407, 0)","(1.027118644, 0)","(0.6, 0.055894911)","(0.615254237, 0.079967427)","(0.630508475, 0.125198602)","(0.645762712, 0.166764334)","(0.661016949, 0.221983176)","(0.676271186, 0.28745455)","(0.691525424, 0.347391201)","(0.706779661, 0.412738157)","(0.722033898, 0.481574133)","(0.737288136, 0.553725777)","(0.752542373, 0.619837519)","(0.76779661, 0.685911874)","(0.783050847, 0.741593883)","(0.798305085, 0.790816188)","(0.813559322, 0.847330843)","(0.828813559, 0.897657407)","(0.844067797, 0.922114983)","(0.859322034, 0.960525512)","(0.874576271, 0.990837175)","(0.889830508, 1.024939433)","(0.905084746, 1.038931369)","(0.920338983, 1.084117015)","(0.93559322, 1.126278309)","(0.950847458, 1.161882833)","(0.973728814, 0.542649509)","(0.988983051, 0.494594687)","(1.004237288, 0)","(1.019491525, -0.000076663)","(1.034745763, 0)","(1.05, 0)"
"(0.6, 0.033763501)","(0.615254237, 0.054333139)","(0.630508475, 0.084823037)","(0.645762712, 0.124659872)","(0.661016949, 0.174758812)","(0.676271186, 0.232891238)","(0.691525424, 0.302203395)","(0.706779661, 0.373355251)","(0.722033898, 0.443066785)","(0.737288136, 0.518653807)","(0.752542373, 0.587972644)","(0.76779661, 0.65408625)","(0.783050847, 0.720017149)","(0.798305085, 0.776124502)","(0.813559322, 0.833820552)","(0.828813559, 0.876079626)","(0.844067797, 0.924158577)","(0.859322034, 0.957752309)","(0.874576271, 0.995491888)","(0.889830508, 1.029355789)","(0.905084746, 1.054837366)","(0.920338983, 1.080318128)","(0.93559322, 1.107866612)","(0.950847458, 1.141698073)","(0.966101695, 1.195766039)","(0.981355932, 2.869446355)","(0.996610169, 10.39665048)","(1.011864407, 0.740582471)","(1.027118644, 0)","(0.6, 0.035327593)","(0.615254237, 0.052894168)","(0.630508475, 0.086749219)","(0.645762712, 0.131026954)","(0.661016949, 0.178268464)","(0.676271186, 0.231111054)","(0.691525424, 0.299975063)","(0.706779661, 0.374100147)","(0.722033898, 0.438827227)","(0.737288136, 0.534320127)","(0.752542373, 0.585629111)","(0.76779661, 0.658620731)","(0.783050847, 0.729201133)","(0.798305085, 0.788162735)","(0.813559322, 0.832291738)","(0.828813559, 0.87323282)","(0.844067797, 0.935233087)","(0.859322034, 0.959862238)","(0.874576271, 1.003160336)","(0.889830508, 1.032794273)","(0.905084746, 1.053406871)","(0.920338983, 1.037294166)","(0.93559322, 0.913249658)","(0.950847458, 0.023733602)","(0.973728814, -6.916508321)","(0.988983051, -28.21437166)","(1.004237288, -9.625105848)","(1.019491525, -0.000128591)","(1.034745763, 0)","(1.05, 0)"
"(0.6, 0.007196221)","(0.61552, 0.014929548)","(0.63103, 0.02987895)","(0.64655, 0.054373729)","(0.66207, 0.089122636)","(0.67759, 0.139328848)","(0.6931, 0.198324918)","(0.70862, 0.269510551)","(0.72414, 0.349538313)","(0.73966, 0.426061477)","(0.75517, 0.501632702)","(0.77069, 0.567412563)","(0.78621, 0.632158286)","(0.80172, 0.68406113)","(0.81724, 0.730401894)","(0.83276, 0.774286433)","(0.84828, 0.805172013)","(0.86379, 0.84291658)","(0.87931, 0.862419542)","(0.89483, 0.883382161)","(0.91034, 0.90918838)","(0.92586, 0.934291953)","(0.94138, 0.984108135)","(0.9569, 1.183257054)","(0.97241, 2.396538055)","(0.98793, 7.687814617)","(1.00345, 21.81364185)","(1.01897, -7.857590955)","(1.03448, -7.883458647)","(0.6, 0.005685536)","(0.61552, 0.015391784)","(0.63103, 0.029461003)","(0.64655, 0.055881091)","(0.66207, 0.087082558)","(0.67759, 0.140166486)","(0.6931, 0.198600646)","(0.70862, 0.273444059)","(0.72414, 0.358475742)","(0.73966, 0.430680629)","(0.75517, 0.511212206)","(0.77069, 0.56988109)","(0.78621, 0.627024867)","(0.80172, 0.696803285)","(0.81724, 0.737039213)","(0.83276, 0.766635895)","(0.84828, 0.821019074)","(0.86379, 0.853454982)","(0.87931, 0.866329827)","(0.89483, 0.908116142)","(0.91034, 0.934008703)","(0.92586, 1.107320665)","(0.94138, 1.909126689)","(0.9569, 3.880019767)","(0.97241, 11.34537958)","(0.98793, 58.57080041)","(1.00345, 176.024873)","(1.01897, -36.83257257)","(1.03448, -22.67850757)","(1.05, 29.49069106)"
"(0.6, 0.010294956)","(0.61552, 0.022300447)","(0.63103, 0.042624049)","(0.64655, 0.071414197)","(0.66207, 0.112322537)","(0.67759, 0.166274041)","(0.6931, 0.225257984)","(0.70862, 0.29539344)","(0.72414, 0.368347398)","(0.73966, 0.43474208)","(0.75517, 0.499520208)","(0.77069, 0.5556219)","(0.78621, 0.608990121)","(0.80172, 0.655200263)","(0.81724, 0.697244021)","(0.83276, 0.730666547)","(0.84828, 0.758241989)","(0.86379, 0.783329051)","(0.87931, 0.80916282)","(0.89483, 0.828023332)","(0.91034, 0.847124126)","(0.92586, 0.851989456)","(0.94138, 0.8636511)","(0.9569, 0.793749292)","(0.97241, 0.427840468)","(0.98793, -0.361309925)","(1.00345, -57.76408277)","(1.01897, -4.093590383)","(1.03448, 15.57808554)","(0.6, 0.010597034)","(0.61552, 0.021524795)","(0.63103, 0.043879298)","(0.64655, 0.073991665)","(0.66207, 0.11032015)","(0.67759, 0.167229184)","(0.6931, 0.223463187)","(0.70862, 0.29974354)","(0.72414, 0.378483999)","(0.73966, 0.435746405)","(0.75517, 0.505953567)","(0.77069, 0.561494089)","(0.78621, 0.611376287)","(0.80172, 0.660397705)","(0.81724, 0.692858931)","(0.83276, 0.74510205)","(0.84828, 0.755099013)","(0.86379, 0.785789773)","(0.87931, 0.825526758)","(0.89483, 0.826163328)","(0.91034, 0.844859857)","(0.92586, 0.872922793)","(0.94138, 0.948382416)","(0.9569, 0.536157113)","(0.97241, -0.693704927)","(0.98793, 4.487797106)","(1.00345, 552.7406471)","(1.01897, -83.98786314)","(1.03448, 121.1686086)","(1.05, 21.70219173)"
"(0.6, 0.010700963)","(0.61552, 0.02196249)","(0.63103, 0.041155603)","(0.64655, 0.072148999)","(0.66207, 0.117039489)","(0.67759, 0.173635506)","(0.6931, 0.24392451)","(0.70862, 0.325132418)","(0.72414, 0.409628975)","(0.73966, 0.494517302)","(0.75517, 0.576205763)","(0.77069, 0.64998589)","(0.78621, 0.714859431)","(0.80172, 0.769251949)","(0.81724, 0.815990586)","(0.83276, 0.855048232)","(0.84828, 0.886277173)","(0.86379, 0.913382674)","(0.87931, 0.9330495)","(0.89483, 0.951722596)","(0.91034, 0.968396203)","(0.92586, 0.978089766)","(0.94138, 0.971527108)","(0.9569, 0.97230599)","(0.97241, 0.912389855)","(0.98793, -1.160782171)","(1.00345, -18.8922522)","(1.01897, -2.415069074)","(1.03448, 1.331505522)","(0.6, 0.010589159)","(0.61552, 0.022924322)","(0.63103, 0.041680459)","(0.64655, 0.074392359)","(0.66207, 0.115071661)","(0.67759, 0.179075119)","(0.6931, 0.245740374)","(0.70862, 0.329921748)","(0.72414, 0.415263916)","(0.73966, 0.499744312)","(0.75517, 0.577129609)","(0.77069, 0.653208289)","(0.78621, 0.720232147)","(0.80172, 0.778817864)","(0.81724, 0.826834651)","(0.83276, 0.864245392)","(0.84828, 0.896469444)","(0.86379, 0.923901124)","(0.87931, 0.940027311)","(0.89483, 0.962451622)","(0.91034, 0.978539771)","(0.92586, 0.99109084)","(0.94138, 0.930740319)","(0.9569, 0.490524721)","(0.97241, 2.108092603)","(0.98793, -2.72959441)","(1.00345, 11.70649042)","(1.01897, -42.28711448)","(1.03448, 28.03253071)","(1.05, -1.509571567)"
