Freq (GHz),Response (dB)
12.79,-3.984858024
12.8,-3.986337614
12.81,-3.989678916
12.82,-3.995520346
12.83,-3.997938497
12.84,-4.000554122
12.85,-4.005359803
12.86,-4.009807682
12.87,-4.010995077
12.88,-4.016881231
12.89,-4.020019949
12.9,-4.019839772
12.91,-4.023177441
12.92,-4.028957529
12.93,-4.031871966
12.94,-4.035159713
12.95,-4.043415875
12.96,-4.046556656
12.97,-4.047300991
12.98,-4.050791278
12.99,-4.054756145
13,-4.055656483
13.01,-4.059588942
13.02,-4.066427151
13.03,-4.06983842
13.04,-4.071389651
13.05,-4.075666138
13.06,-4.078392784
13.07,-4.077348108
13.08,-4.080711264
13.09,-4.086482854
13.1,-4.08960171
13.11,-4.092433071
13.12,-4.099694191
13.13,-4.102414231
13.14,-4.102316151
13.15,-4.105342515
13.16,-4.109190451
13.17,-4.109197273
13.18,-4.112467575
13.19,-4.118830079
13.2,-4.121535373
13.21,-4.122480128
13.22,-4.124895938
13.23,-4.12603736
13.24,-4.126481238
13.25,-4.130173038
13.26,-4.134584908
13.27,-4.135799361
13.28,-4.138437575
13.29,-4.141434204
13.3,-4.14125462
13.31,-4.141521443
13.32,-4.143700487
13.33,-4.146793373
13.34,-4.148057822
13.35,-4.151430529
13.36,-4.154951724
13.37,-4.154503532
13.38,-4.154429626
13.39,-4.155071832
13.4,-4.154584934
13.41,-4.15419004
13.42,-4.15615291
13.43,-4.158973043
13.44,-4.159080811
13.45,-4.159672813
13.46,-4.159870988
13.47,-4.159852168
13.48,-4.160460804
13.49,-4.161526165
13.5,-4.163717808
13.51,-4.163949964
13.52,-4.16524408
13.53,-4.165293446
13.54,-4.164678558
13.55,-4.16437489
13.56,-4.164996609
13.57,-4.165538638
13.58,-4.166198103
13.59,-4.16736443
13.6,-4.168300122
13.61,-4.169198932
13.62,-4.17009846
13.63,-4.171149232
13.64,-4.172540822
13.65,-4.174320056
13.66,-4.176653878
13.67,-4.179504461
13.68,-4.181885545
13.69,-4.184801611
13.7,-4.187532104
13.71,-4.190196017
13.72,-4.193226778
13.73,-4.196481481
13.74,-4.199710507
13.75,-4.203344446
13.76,-4.206975293
13.77,-4.210249428
13.78,-4.213939858
13.79,-4.217693205
13.8,-4.221424623
13.81,-4.225292417
13.82,-4.229055706
13.83,-4.232342257
13.84,-4.235435095
13.85,-4.239232079
13.86,-4.242479363
13.87,-4.246172966
13.88,-4.250226026
13.89,-4.254292112
13.9,-4.258107414
13.91,-4.261870163
13.92,-4.265849895
13.93,-4.269705351
13.94,-4.273712254
13.95,-4.278736725
13.96,-4.284561914
13.97,-4.288714078
13.98,-4.293588034
13.99,-4.297911127
14,-4.301533541
14.01,-4.30451953
14.02,-4.309303456
14.03,-4.313140294
14.04,-4.317766486
14.05,-4.323013266
14.06,-4.327857543
14.07,-4.331840101
14.08,-4.334811372
14.09,-4.339384638
14.1,-4.342880019
14.11,-4.347399115
14.12,-4.353199591
14.13,-4.359504961
14.14,-4.364087773
14.15,-4.368805611
14.16,-4.372822141
14.17,-4.375892573
14.18,-4.378360758
14.19,-4.383736038
14.2,-4.386841876
14.21,-4.391194002
14.22,-4.396539601
14.23,-4.401507948
14.24,-4.404286082
14.25,-4.406205005
14.26,-4.410075387
14.27,-4.412150957
14.28,-4.415366816
14.29,-4.420290546
14.3,-4.425090516
14.31,-4.427838257
14.32,-4.430266411
14.33,-4.432876426
14.34,-4.433769877
14.35,-4.434099351
14.36,-4.438070246
14.37,-4.441370375
14.38,-4.443963299
14.39,-4.448079575
14.4,-4.452181802
14.41,-4.453669148
14.42,-4.454706763
14.43,-4.458123347
14.44,-4.45978205
14.45,-4.462666712
14.46,-4.468087207
14.47,-4.472985157
14.48,-4.475818254
14.49,-4.477987644
14.5,-4.481506151
14.51,-4.484205633
14.52,-4.485573078
14.53,-4.490971828
14.54,-4.495712282
14.55,-4.499739442
14.56,-4.505770153
14.57,-4.511813982
14.58,-4.514963739
14.59,-4.517787084
14.6,-4.523077124
14.61,-4.526655279
14.62,-4.530867969
14.63,-4.537872998
14.64,-4.54416881
14.65,-4.548746305
14.66,-4.552873808
14.67,-4.557798368
14.68,-4.56085115
14.69,-4.563751166
14.7,-4.570476491
14.71,-4.576560299
14.72,-4.58169692
14.73,-4.589119118
14.74,-4.595949789
14.75,-4.599509548
14.76,-4.602480075
14.77,-4.607862002
14.78,-4.610635431
14.79,-4.614289579
14.8,-4.621045126
14.81,-4.626887976
14.82,-4.630933073
14.83,-4.635157672
14.84,-4.639657236
14.85,-4.64211087
14.86,-4.644172801
14.87,-4.649945933
14.88,-4.654597549
14.89,-4.658940321
14.9,-4.665233694
14.91,-4.67121269
14.92,-4.674113295
14.93,-4.67630655
14.94,-4.680330669
14.95,-4.681651388
14.96,-4.683665724
14.97,-4.688991566
14.98,-4.693599401
14.99,-4.696791776
15,-4.699188661
15.01,-4.70302961
15.02,-4.70429478
15.03,-4.705077
15.04,-4.709411452
15.05,-4.712535498
15.06,-4.715403331
15.07,-4.720319096
15.08,-4.72435007
15.09,-4.725635103
15.1,-4.726028259
15.11,-4.728114433
15.12,-4.727403018
15.13,-4.726931003
15.14,-4.730215227
15.15,-4.732405351
15.16,-4.733482395
15.17,-4.735552922
15.18,-4.737335198
15.19,-4.736407853
15.2,-4.734965507
15.21,-4.736093511
15.22,-4.736460189
15.23,-4.737687445
15.24,-4.737497931
15.25,-4.737573401
15.26,-4.736794998
15.27,-4.735666174
15.28,-4.73460558
15.29,-4.734362345
15.3,-4.733864901
15.31,-4.733725814
15.32,-4.734070814
15.33,-4.734019388
15.34,-4.733740817
15.35,-4.7336003
15.36,-4.731498387
15.37,-4.73345904
15.38,-4.734653017
15.39,-4.735347616
15.4,-4.737951016
15.41,-4.740432261
15.42,-4.740033985
15.43,-4.739567964
15.44,-4.741679662
15.45,-4.742440253
15.46,-4.743517882
15.47,-4.747529793
15.48,-4.75083513
15.49,-4.752328637
15.5,-4.753269486
15.51,-4.755517684
15.52,-4.755804883
15.53,-4.7563653
15.54,-4.76087872
15.55,-4.764591036
15.56,-4.767551178
15.57,-4.772881715
15.58,-4.778186101
15.59,-4.780552244
15.6,-4.78244061
15.61,-4.786388572
15.62,-4.788605218
15.63,-4.791500629
15.64,-4.797727471
15.65,-4.803149079
15.66,-4.806763671
15.67,-4.810237752
15.68,-4.814620378
15.69,-4.816592839
15.7,-4.81837337
15.71,-4.823976315
15.72,-4.828631378
15.73,-4.832744555
15.74,-4.838920015
15.75,-4.844568348
15.76,-4.847180053
15.77,-4.849514793
15.78,-4.853557396
15.79,-4.855464982
15.8,-4.857426668
15.81,-4.863012026
15.82,-4.8677918
15.83,-4.871280879
15.84,-4.874961525
15.85,-4.879230444
15.86,-4.880737401
15.87,-4.882236408
15.88,-4.88699434
15.89,-4.890671923
15.9,-4.893911685
15.91,-4.899346761
15.92,-4.904187236
15.93,-4.905868494
15.94,-4.907514943
15.95,-4.910370096
15.96,-4.910813258
15.97,-4.911465519
15.98,-4.915733812
15.99,-4.919016791
16,-4.921134898
16.01,-4.92377317
16.02,-4.926730677
16.03,-4.926676506
16.04,-4.926441935
16.05,-4.929065723
16.06,-4.930381022
16.07,-4.931658866
16.08,-4.934900764
16.09,-4.937279743
16.1,-4.936945137
16.11,-4.935943572
16.12,-4.936605081
16.13,-4.934445957
16.14,-4.932239882
16.15,-4.933983439
16.16,-4.934818829
16.17,-4.934531188
16.18,-4.935780723
16.19,-4.936797498
16.2,-4.936550191
16.21,-4.934377353
16.22,-4.935239096
16.23,-4.934096694
16.24,-4.933843587
16.25,-4.936146196
16.26,-4.937823825
16.27,-4.937383734
16.28,-4.93653038
16.29,-4.937186941
16.3,-4.935755572
16.31,-4.934522417
16.32,-4.937464083
16.33,-4.939494998
16.34,-4.94108348
16.35,-4.944601629
16.36,-4.948139528
16.37,-4.948848056
16.38,-4.949328161
16.39,-4.952147578
16.4,-4.952959589
16.41,-4.954749554
16.42,-4.959451877
16.43,-4.96325451
16.44,-4.965233422
16.45,-4.967210293
16.46,-4.969920102
16.47,-4.970761841
16.48,-4.971289842
16.49,-4.975268854
16.5,-4.978600863
16.51,-4.981420347
16.52,-4.986250616
16.53,-4.990728819
16.54,-4.992194831
16.55,-4.993413786
16.56,-4.996530761
16.57,-4.99713507
16.58,-4.998298817
16.59,-5.002843908
16.6,-5.006463911
16.61,-5.008673927
16.62,-5.011216613
16.63,-5.014076937
16.64,-5.014471286
16.65,-5.014769867
16.66,-5.018543716
16.67,-5.021144979
16.68,-5.023463192
16.69,-5.02775413
16.7,-5.031572637
16.71,-5.032322201
16.72,-5.032696731
16.73,-5.034898626
16.74,-5.034363739
16.75,-5.034362754
16.76,-5.037828682
16.77,-5.039979961
16.78,-5.041200197
16.79,-5.042914101
16.8,-5.044673047
16.81,-5.043778914
16.82,-5.042799343
16.83,-5.04442253
16.84,-5.044916571
16.85,-5.045358522
16.86,-5.047925498
16.87,-5.049384675
16.88,-5.047946599
16.89,-5.046032947
16.9,-5.045459795
16.91,-5.042383303
16.92,-5.039375878
16.93,-5.040326606
16.94,-5.04006736
16.95,-5.038818911
16.96,-5.038467129
16.97,-5.038034323
16.98,-5.034739746
16.99,-5.031176395
17,-5.031685405
17.01,-5.029067548
17.02,-5.026917143
17.03,-5.027280202
17.04,-5.02667725
17.05,-5.023694311
17.06,-5.019959911
17.07,-5.017977699
17.08,-5.013941563
17.09,-5.010090763
17.1,-5.010185522
17.11,-5.009472256
17.12,-5.008327582
17.13,-5.008901413
17.14,-5.009397611
17.15,-5.006960543
17.16,-5.004524769
17.17,-5.004681726
17.18,-5.002761861
17.19,-5.001865811
17.2,-5.00402628
17.21,-5.005507854
17.22,-5.005606731
17.23,-5.005584941
17.24,-5.006595149
17.25,-5.005758261
17.26,-5.005017624
17.27,-5.008366454
17.28,-5.011005708
17.29,-5.012875862
17.3,-5.01724165
17.31,-5.021453747
17.32,-5.022704862
17.33,-5.023774079
17.34,-5.027019866
17.35,-5.028090423
17.36,-5.032306154
17.37,-5.036102161
17.38,-5.040128475
17.39,-5.043626762
17.4,-5.046656817
17.41,-5.049239305
17.42,-5.05325751
17.43,-5.056976908
17.44,-5.061326809
17.45,-5.066246728
17.46,-5.071438145
17.47,-5.075565622
17.48,-5.080490834
17.49,-5.08457794
17.5,-5.090589872
17.51,-5.095817023
17.52,-5.10071618
17.53,-5.107506061
17.54,-5.113995154
17.55,-5.117441977
17.56,-5.12060139
17.57,-5.125576444
17.58,-5.128164301
17.59,-5.131274289
17.6,-5.137920693
17.61,-5.143684624
17.62,-5.147848055
17.63,-5.152853321
17.64,-5.157531479
17.65,-5.159984047
17.66,-5.16199349
17.67,-5.167374412
17.68,-5.171698
17.69,-5.175900961
17.7,-5.182097601
17.71,-5.187467007
17.72,-5.189792405
17.73,-5.191519665
17.74,-5.194785816
17.75,-5.195519955
17.76,-5.19655387
17.77,-5.201153456
17.78,-5.204922801
17.79,-5.207321533
17.8,-5.210573905
17.81,-5.213761391
17.82,-5.214107046
17.83,-5.214131049
17.84,-5.216865543
17.85,-5.218218005
17.86,-5.219762182
17.87,-5.223350295
17.88,-5.226416086
17.89,-5.226841779
17.9,-5.226743444
17.91,-5.227943904
17.92,-5.226781393
17.93,-5.226119311
17.94,-5.22872883
17.95,-5.230678765
17.96,-5.231738968
17.97,-5.234308481
17.98,-5.236715192
17.99,-5.236282796
18,-5.235539803
18.01,-5.237641093
18.02,-5.238113772
18.03,-5.239468107
18.04,-5.241528739
18.05,-5.244794107
18.06,-5.245896904
18.07,-5.246463303
18.08,-5.248315726
18.09,-5.248451523
18.1,-5.248669871
18.11,-5.252636736
18.12,-5.255912512
18.13,-5.258704
18.14,-5.263430591
18.15,-5.268069591
18.16,-5.269992617
18.17,-5.271609059
18.18,-5.275548077
18.19,-5.277455959
18.2,-5.279941751
18.21,-5.285833979
18.22,-5.290819743
18.23,-5.294494943
18.24,-5.297755075
18.25,-5.301829544
18.26,-5.303989229
18.27,-5.30603957
18.28,-5.311818159
18.29,-5.316868988
18.3,-5.32147848
18.31,-5.327876365
18.32,-5.334066969
18.33,-5.337239683
18.34,-5.340174025
18.35,-5.345237303
18.36,-5.347853804
18.37,-5.350870643
18.38,-5.357378598
18.39,-5.363041486
18.4,-5.367577211
18.41,-5.3721689
18.42,-5.377114893
18.43,-5.379629604
18.44,-5.382240921
18.45,-5.388025829
18.46,-5.392995225
18.47,-5.397486683
18.48,-5.403868765
18.49,-5.410080505
18.5,-5.413317036
18.51,-5.415691928
18.52,-5.42004652
18.53,-5.422021805
18.54,-5.423845387
18.55,-5.429444498
18.56,-5.43418768
18.57,-5.43797359
18.58,-5.442719137
18.59,-5.447463854
18.6,-5.449098517
18.61,-5.450223862
18.62,-5.454192691
18.63,-5.456677223
18.64,-5.459243443
18.65,-5.463717255
18.66,-5.467544804
18.67,-5.468485311
18.68,-5.468547512
18.69,-5.470006135
18.7,-5.468945366
18.71,-5.467784174
18.72,-5.470170127
18.73,-5.471083541
18.74,-5.471379375
18.75,-5.472931911
18.76,-5.474520634
18.77,-5.472876973
18.78,-5.470706253
18.79,-5.470907042
18.8,-5.469575392
18.81,-5.468403084
18.82,-5.469716667
18.83,-5.470447998
18.84,-5.468964157
18.85,-5.467030115
18.86,-5.465972654
18.87,-5.463172848
18.88,-5.460296683
18.89,-5.46109738
18.9,-5.461281845
18.91,-5.46113338
18.92,-5.46276344
18.93,-5.464109897
18.94,-5.462526601
18.95,-5.460680346
18.96,-5.461383229
18.97,-5.460120589
18.98,-5.45899932
18.99,-5.46145243
19,-5.461655614
19.01,-5.461815508
19.02,-5.461750837
19.03,-5.463236886
19.04,-5.46239888
19.05,-5.461578751
19.06,-5.464881185
19.07,-5.467131399
19.08,-5.469029306
19.09,-5.47296117
19.1,-5.4769301
19.11,-5.477798043
19.12,-5.478217555
19.13,-5.481039743
19.14,-5.481305635
19.15,-5.48213119
19.16,-5.486694068
19.17,-5.490297097
19.18,-5.493243229
19.19,-5.496254026
19.2,-5.500047926
19.21,-5.501521082
19.22,-5.502863516
19.23,-5.507730479
19.24,-5.511865506
19.25,-5.515586994
19.26,-5.52165867
19.27,-5.527240774
19.28,-5.530241656
19.29,-5.533098387
19.3,-5.537442664
19.31,-5.539562327
19.32,-5.541983049
19.33,-5.548274627
19.34,-5.553821202
19.35,-5.558696577
19.36,-5.564534415
19.37,-5.570490471
19.38,-5.573731188
19.39,-5.576901177
19.4,-5.582965346
19.41,-5.588077278
19.42,-5.593180386
19.43,-5.60096379
19.44,-5.60798153
19.45,-5.612168566
19.46,-5.615933827
19.47,-5.621098842
19.48,-5.624166616
19.49,-5.627667598
19.5,-5.633125343
19.51,-5.638550343
19.52,-5.643535839
19.53,-5.648533486
19.54,-5.653308241
19.55,-5.658176536
19.56,-5.662799916
19.57,-5.667527801
19.58,-5.672288564
19.59,-5.678085935
19.6,-5.684182264
19.61,-5.687079986
19.62,-5.689467718
19.63,-5.694479915
19.64,-5.697920632
19.65,-5.700932807
19.66,-5.707079585
19.67,-5.71197447
19.68,-5.714865583
19.69,-5.716934357
19.7,-5.720193721
19.71,-5.721084319
19.72,-5.722129463
19.73,-5.727024561
19.74,-5.730871686
19.75,-5.734274252
19.76,-5.739252958
19.77,-5.744194411
19.78,-5.746048286
19.79,-5.74758666
19.8,-5.751608798
19.81,-5.753667364
19.82,-5.755644363
19.83,-5.761247221
19.84,-5.765634158
19.85,-5.768374004
19.86,-5.771067923
19.87,-5.775045589
19.88,-5.776147231
19.89,-5.777356387
19.9,-5.782509241
19.91,-5.786665527
19.92,-5.790450297
19.93,-5.79591339
19.94,-5.801368855
19.95,-5.803852646
19.96,-5.805875476
19.97,-5.810005039
19.98,-5.811808983
19.99,-5.813637362
20,-5.819305285
20.01,-5.824149138
20.02,-5.827360707
20.03,-5.830695603
20.04,-5.836781329
20.05,-5.838456163
20.06,-5.840066984
20.07,-5.84520685
20.08,-5.849491376
20.09,-5.853092915
20.1,-5.859133803
20.11,-5.864846763
20.12,-5.867845938
20.13,-5.870052424
20.14,-5.874248663
20.15,-5.876370433
20.16,-5.878479352
20.17,-5.884571561
20.18,-5.889353726
20.19,-5.893430786
20.2,-5.898335461
20.21,-5.9035468
20.22,-5.905683608
20.23,-5.907691687
20.24,-5.912837686
20.25,-5.916745809
20.26,-5.920177884
20.27,-5.926559134
20.28,-5.931803894
20.29,-5.934766283
20.3,-5.935551825
20.31,-5.939603815
20.32,-5.941095779
20.33,-5.94253321
20.34,-5.947582663
20.35,-5.951833759
20.36,-5.955352115
20.37,-5.960254709
20.38,-5.965323088
20.39,-5.967275245
20.4,-5.968597071
20.41,-5.972595204
20.42,-5.974712282
20.43,-5.976589621
20.44,-5.981691917
20.45,-5.985640699
20.46,-5.987515917
20.47,-5.98900884
20.48,-5.992025408
20.49,-5.992049195
20.5,-5.992156165
20.51,-5.996079442
20.52,-5.998706354
20.53,-6.000415011
20.54,-6.004511598
20.55,-6.007919705
20.56,-6.008112471
20.57,-6.007424239
20.58,-6.009087815
20.59,-6.008322424
20.6,-6.007529208
20.61,-6.010462412
20.62,-6.012059809
20.63,-6.011888099
20.64,-6.011355765
20.65,-6.012218995
20.66,-6.009882555
20.67,-6.007962548
20.68,-6.009523659
20.69,-6.009687646
20.7,-6.009213662
20.71,-6.011441475
20.72,-6.012592317
20.73,-6.011126602
20.74,-6.008996394
20.75,-6.008979915
20.76,-6.006361546
20.77,-6.003951984
20.78,-6.005670154
20.79,-6.006273898
20.8,-6.005529383
20.81,-6.005356626
20.82,-6.006050187
20.83,-6.003617658
20.84,-6.001083434
20.85,-6.0018919
20.86,-6.001991376
20.87,-6.00124574
20.88,-6.003468567
20.89,-6.004800945
20.9,-6.003559793
20.91,-6.001360297
20.92,-6.001493829
20.93,-5.999227621
20.94,-5.997035865
20.95,-5.998986747
20.96,-5.999760995
20.97,-5.999728055
20.98,-6.001001208
20.99,-6.003044853
21,-6.003617347
21.01,-6.002605397
21.02,-6.004672814
21.03,-6.004957557
21.04,-6.005184424
21.05,-6.008901427
21.06,-6.011596464
21.07,-6.012262568
21.08,-6.012692474
21.09,-6.014610196
21.1,-6.013732758
21.11,-6.013486401
21.12,-6.01710628
21.13,-6.019989619
21.14,-6.022395096
21.15,-6.026611916
21.16,-6.03098517
21.17,-6.03208602
21.18,-6.033288437
21.19,-6.037023071
21.2,-6.039095533
21.21,-6.040629048
21.22,-6.046308899
21.23,-6.050821009
21.24,-6.053390873
21.25,-6.055943252
21.26,-6.06027786
21.27,-6.061968185
21.28,-6.063792911
21.29,-6.069117143
21.3,-6.073971704
21.31,-6.078269115
21.32,-6.084846469
21.33,-6.091024539
21.34,-6.094237889
21.35,-6.097032558
21.36,-6.101856297
21.37,-6.104797722
21.38,-6.10772729
21.39,-6.114741664
21.4,-6.120741885
21.41,-6.124932476
21.42,-6.129347234
21.43,-6.134975068
21.44,-6.137478191
21.45,-6.14025045
21.46,-6.146633116
21.47,-6.152184378
21.48,-6.156650278
21.49,-6.163499442
21.5,-6.169811499
21.51,-6.173450081
21.52,-6.176348832
21.53,-6.180984486
21.54,-6.183211746
21.55,-6.185327979
21.56,-6.191453101
21.57,-6.19656635
21.58,-6.200560184
21.59,-6.20456486
21.6,-6.208208783
21.61,-6.211917692
21.62,-6.215752556
21.63,-6.219376804
21.64,-6.22278678
21.65,-6.226748998
21.66,-6.231542914
21.67,-6.233001537
21.68,-6.234075293
21.69,-6.238546186
21.7,-6.241586755
21.71,-6.244232876
21.72,-6.249772581
21.73,-6.254106726
21.74,-6.255883344
21.75,-6.257243163
21.76,-6.259858812
21.77,-6.259957523
21.78,-6.259763174
21.79,-6.26375953
21.8,-6.266755333
21.81,-6.268658019
21.82,-6.271982858
21.83,-6.275363865
21.84,-6.27565689
21.85,-6.275491118
21.86,-6.278198256
21.87,-6.279126469
21.88,-6.279864711
21.89,-6.284262805
21.9,-6.287119482
21.91,-6.287867373
21.92,-6.288184891
21.93,-6.29007502
21.94,-6.289356338
21.95,-6.288800927
21.96,-6.292127019
21.97,-6.294445623
21.98,-6.295938119
21.99,-6.299637879
22,-6.302954699
22.01,-6.302968684
22.02,-6.302803228
22.03,-6.304971293
22.04,-6.305138799
22.05,-6.304964487
22.06,-6.308778931
22.07,-6.311334241
22.08,-6.312158236
22.09,-6.312978894
22.1,-6.315030866
22.11,-6.31393404
22.12,-6.312859778
22.13,-6.31591241
22.14,-6.317596721
22.15,-6.318670518
22.16,-6.321906811
22.17,-6.324584224
22.18,-6.324413762
22.19,-6.323781065
22.2,-6.325185338
22.21,-6.324430924
22.22,-6.323201898
22.23,-6.326201724
22.24,-6.328043655
22.25,-6.32873938
22.26,-6.329766661
22.27,-6.331839084
22.28,-6.330694942
22.29,-6.328861694
22.3,-6.33275271
22.31,-6.333832285
22.32,-6.334250385
22.33,-6.337879985
22.34,-6.340392251
22.35,-6.340046004
22.36,-6.339221451
22.37,-6.340237794
22.38,-6.338472605
22.39,-6.336642313
22.4,-6.339086952
22.41,-6.34036476
22.42,-6.340677468
22.43,-6.342300596
22.44,-6.344335864
22.45,-6.342732831
22.46,-6.340802551
22.47,-6.341721029
22.48,-6.341168459
22.49,-6.340337311
22.5,-6.342484006
22.51,-6.343587276
22.52,-6.342220755
22.53,-6.340253553
22.54,-6.339646693
22.55,-6.336587792
22.56,-6.333183525
22.57,-6.333965457
22.58,-6.333431315
22.59,-6.33221718
22.6,-6.332829588
22.61,-6.333327773
22.62,-6.330293059
22.63,-6.327092957
22.64,-6.326514874
22.65,-6.323410903
22.66,-6.320174635
22.67,-6.320389919
22.68,-6.319370942
22.69,-6.316493745
22.7,-6.313365027
22.71,-6.31109731
22.72,-6.306482594
22.73,-6.301979393
22.74,-6.301389936
22.75,-6.299639725
22.76,-6.297408609
22.77,-6.29710104
22.78,-6.296148339
22.79,-6.292262862
22.8,-6.287898913
22.81,-6.286116686
22.82,-6.282086097
22.83,-6.277972657
22.84,-6.278044243
22.85,-6.27697416
22.86,-6.274377127
22.87,-6.272179386
22.88,-6.271087894
22.89,-6.267100248
22.9,-6.263611793
22.91,-6.263681118
22.92,-6.262278102
22.93,-6.260782597
22.94,-6.2619614
22.95,-6.262396582
22.96,-6.260389714
22.97,-6.257843022
22.98,-6.25790274
22.99,-6.254896224
23,-6.250784753
23.01,-6.252663556
23.02,-6.253163718
23.03,-6.252987285
23.04,-6.253793216
23.05,-6.255427641
23.06,-6.253582495
23.07,-6.252045077
23.08,-6.253669076
23.09,-6.254091299
23.1,-6.254442787
23.11,-6.257893435
23.12,-6.260678562
23.13,-6.260843978
23.14,-6.260872792
23.15,-6.262690847
23.16,-6.261856266
23.17,-6.261645048
23.18,-6.26509675
23.19,-6.267788822
23.2,-6.269841493
23.21,-6.273636775
23.22,-6.277570899
23.23,-6.27830164
23.24,-6.279124561
23.25,-6.282818222
23.26,-6.284869213
23.27,-6.286412734
23.28,-6.291735807
23.29,-6.296118722
23.3,-6.298349771
23.31,-6.300396792
23.32,-6.303666075
23.33,-6.304608525
23.34,-6.305889747
23.35,-6.311092029
23.36,-6.315199702
23.37,-6.318657284
23.38,-6.324078022
23.39,-6.329133393
23.4,-6.331396234
23.41,-6.333333931
23.42,-6.337649525
23.43,-6.339659214
23.44,-6.34120938
23.45,-6.346680944
23.46,-6.350905159
23.47,-6.353110358
23.48,-6.355606031
23.49,-6.359373363
23.5,-6.359947283
23.51,-6.360667926
23.52,-6.365249659
23.53,-6.368512661
23.54,-6.371307601
23.55,-6.37601399
23.56,-6.380027827
23.57,-6.380789777
23.58,-6.381239176
23.59,-6.383408471
23.6,-6.383036387
23.61,-6.382168038
23.62,-6.385302802
23.63,-6.387212322
23.64,-6.38785676
23.65,-6.388656441
23.66,-6.388917948
23.67,-6.389231016
23.68,-6.389524985
23.69,-6.389936801
23.7,-6.389834728
23.71,-6.390380848
23.72,-6.391491076
23.73,-6.389410441
23.74,-6.387471933
23.75,-6.388617569
23.76,-6.388981032
23.77,-6.388572562
23.78,-6.391043939
23.79,-6.392468027
23.8,-6.391072142
23.81,-6.389280856
23.82,-6.389576855
23.83,-6.387282515
23.84,-6.385124923
23.85,-6.387087403
23.86,-6.387868476
23.87,-6.38748608
23.88,-6.388242842
23.89,-6.389457399
23.9,-6.387586689
23.91,-6.385546928
23.92,-6.386536368
23.93,-6.386292314
23.94,-6.385464972
23.95,-6.387671142
23.96,-6.388716994
23.97,-6.387269875
23.98,-6.385686801
23.99,-6.385461137
24,-6.382969362
24.01,-6.380717557
24.02,-6.382310545
24.03,-6.383000894
24.04,-6.382840887
24.05,-6.384345182
24.06,-6.386061877
24.07,-6.384588471
24.08,-6.382853123
24.09,-6.383852353
24.1,-6.383035639
24.11,-6.382139616
24.12,-6.384562913
24.13,-6.385905176
24.14,-6.385340691
24.15,-6.384578287
24.16,-6.385573652
24.17,-6.383725062
24.18,-6.382176244
24.19,-6.384575064
24.2,-6.386039567
24.21,-6.386707557
24.22,-6.389964209
24.23,-6.392544234
24.24,-6.392270134
24.25,-6.391548342
24.26,-6.393115987
24.27,-6.392354161
24.28,-6.391670382
24.29,-6.395246286
24.3,-6.397268619
24.31,-6.397726039
24.32,-6.398493031
24.33,-6.400506243
24.34,-6.400084002
24.35,-6.399681804
24.36,-6.402900219
24.37,-6.404990039
24.38,-6.406649871
24.39,-6.410697892
24.4,-6.413961413
24.41,-6.414244646
24.42,-6.41438837
24.43,-6.415944771
24.44,-6.415101444
24.45,-6.414568345
24.46,-6.41779625
24.47,-6.420032821
24.48,-6.421048397
24.49,-6.422582253
24.5,-6.424981808
24.51,-6.424303064
24.52,-6.42338556
24.53,-6.426049918
24.54,-6.427072445
24.55,-6.42743392
24.56,-6.430650013
24.57,-6.432734935
24.58,-6.432301059
24.59,-6.431283505
24.6,-6.431485506
24.61,-6.428886013
24.62,-6.426586278
24.63,-6.427963968
24.64,-6.428612278
24.65,-6.428801715
24.66,-6.430018687
24.67,-6.431473892
24.68,-6.429864445
24.69,-6.428045863
24.7,-6.429409384
24.71,-6.428990705
24.72,-6.428150759
24.73,-6.430855791
24.74,-6.432302074
24.75,-6.431552432
24.76,-6.430390243
24.77,-6.431031139
24.78,-6.429067599
24.79,-6.427422052
24.8,-6.429688742
24.81,-6.430911483
24.82,-6.431735823
24.83,-6.434388908
24.84,-6.437031866
24.85,-6.436535501
24.86,-6.435939355
24.87,-6.43773474
24.88,-6.437712025
24.89,-6.4377643
24.9,-6.440951421
24.91,-6.443651324
24.92,-6.444548935
24.93,-6.444714731
24.94,-6.446693652
24.95,-6.446282984
24.96,-6.446024565
24.97,-6.449709361
24.98,-6.451995787
24.99,-6.454290466
25,-6.46039815
25.01,-6.464722747
25.02,-6.46663232
25.03,-6.468068945
25.04,-6.471077856
25.05,-6.471920164
25.06,-6.473314354
25.07,-6.478523309
25.08,-6.483001832
25.09,-6.486337453
25.1,-6.489947889
25.11,-6.494385022
25.12,-6.495969729
25.13,-6.497387713
25.14,-6.502522934
25.15,-6.50685329
25.16,-6.511001957
25.17,-6.517970426
25.18,-6.524397664
25.19,-6.528085558
25.2,-6.531332282
25.21,-6.536382783
25.22,-6.53878876
25.23,-6.54166302
25.24,-6.548299868
25.25,-6.554210678
25.26,-6.559018555
25.27,-6.565181818
25.28,-6.571689085
25.29,-6.575000396
25.3,-6.578416647
25.31,-6.584842894
25.32,-6.590049861
25.33,-6.594999909
25.34,-6.602917148
25.35,-6.609792015
25.36,-6.614703667
25.37,-6.618734099
25.38,-6.624386707
25.39,-6.627487171
25.4,-6.630489107
25.41,-6.637215266
25.42,-6.642976916
25.43,-6.648246016
25.44,-6.655047659
25.45,-6.661940754
25.46,-6.66558326
25.47,-6.668808663
25.48,-6.674453714
25.49,-6.678331249
25.5,-6.680620543
25.51,-6.685930992
25.52,-6.690095715
