"Wavelength Offset / pm","Indistinguishability Estimate","Error Bar (Standard Deviation)"
-700.,0.8963080392664644,0.009011793467166565
-650.,0.9397037418269643,0.011450534820403944
-600.,0.9730230984508528,0.00890395418865005
-500.,0.9895957159841274,0.008957076490705786
-400.,1.000895397189394,0.008922668763142034
-300.,1.0026369142222948,0.008973483828311764
-200.,1.0087900854763467,0.009121699969155931
-100.,1.0056876728603326,0.009185428409203637
0.,1.004128081833128,0.009259773505044491
100.,0.9986655299538878,0.009137325921019903
206.42857142857144,0.9915072422395586,0.00905384877356163
312.85714285714283,0.9936123118927894,0.008959058607072867
419.28571428571433,0.9908917320528738,0.00889358934246434
525.7142857142857,0.9656396985933702,0.00875150008438633
632.1428571428571,0.9319678632237426,0.00868329142075681
688.5714285714287,0.8611225374197433,0.010984108200730027
745.,0.8428152908737213,0.00854760524606727
