"state","fidelity","error"
"0",0.9999350305492731,4.530408264951524e-6
"1",0.9999429169647128,4.2068986976964256e-6
"+",0.9997377787102363,8.973886063961457e-6
"-",0.9997707325596757,0.00002613764541668477
"+i",0.9998116991341052,7.244423394520215e-6
"-i",0.9997593790276209,8.311773319715674e-6
